Magnitude,Depth,destruction,Victim's reaction,Intensity
6.6,11.0,6,7,8
7.4,13.0,7,8,9
7.0,34.0,4,5,6
7.4,150.0,8,9,10
6.5,105.6,3,4,5
7.8,115.6,5,6,7
5.8,12.0,2,3,4
7.5,24.0,4,5,6
6.6,43.21,2,3,4
6.6,27.0,3,4,5
7.7,23.5,6,7,8
5.4,5.0,5,6,7
7.5,19.0,6,7,8
7.6,31.0,3,4,5
5.8,15.0,6,7,8
6.5,15.0,5,6,7
6.7,24.0,5,6,7
7.3,212.0,4,5,6
5.3,39.0,2,3,4
6.8,163.0,6,7,8
6.7,94.0,4,5,6
7.2,10.0,7,8,9
6.5,42.9,4,5,6
5.8,6.0,5,6,7
6.9,414.5,1,2,3
6.6,25.7,3,4,5
5.6,10.0,1,2,3
6.9,33.0,1,2,3
7.8,40.0,6,7,8
8.0,33.0,6,7,8
6.8,61.1,4,5,6
6.7,30.0,3,4,5
6.4,19.0,6,7,8
8.4,33.0,6,7,8
6.6,19.0,4,5,6
6.6,187.1,2,3,4
5.6,10.0,5,6,7
6.7,206.3,2,3,4
7.6,26.0,7,8,9
6.6,10.0,2,3,4
6.7,23.0,3,4,5
6.5,176.0,2,3,4
7.2,24.0,5,6,7
6.9,596.4,1,2,3
6.9,8.0,3,4,5
5.7,10.0,6,7,8
7.4,225.6,3,4,5
6.9,405.69,1,2,3
6.5,576.0,0,1,1
7.0,43.0,5,6,7
6.9,535.0,1,2,3
6.4,15.0,8,9,10
6.9,25.0,3,4,5
6.9,10.0,4,5,6
7.2,14.0,3,4,5
6.8,150.0,3,4,5
6.7,19.9,5,6,7
7.5,41.0,5,6,7
7.1,40.0,4,5,6
6.9,414.5,1,2,3
6.6,33.0,4,5,6
7.4,43.0,5,6,7
6.7,10.0,6,7,8
7.1,32.8,4,5,6
5.9,10.0,7,8,9
7.3,33.0,4,5,6
6.8,535.0,1,2,3
6.8,24.0,6,7,8
6.8,150.0,3,4,5
7.7,10.0,2,3,4
6.6,15.0,7,8,9
7.8,35.0,9,10,11
7.2,68.0,5,6,7
6.2,17.0,5,6,7
8.6,15.0,4,5,6
6.9,10.0,5,6,7
6.7,23.0,3,4,5
5.0,6.0,6,7,8
7.5,55.0,5,6,7
7.1,13.73,6,7,8
6.2,10.0,6,7,8
6.7,595.854,1,2,3
7.0,579.0,1,2,3
4.9,10.0,6,7,8
6.6,10.0,5,6,7
6.6,13.0,2,3,4
7.0,16.6,5,6,7
7.2,22.0,5,6,7
7.1,33.0,4,5,6
6.4,10.0,7,8,9
4.5,14.0,3,4,5
6.8,16.0,5,6,7
6.6,27.0,5,6,7
6.2,21.0,6,7,8
6.7,26.0,7,8,9
7.3,33.0,4,5,6
7.4,26.0,7,8,9
6.6,10.0,5,6,7
7.7,583.2,2,3,4
7.6,89.0,5,6,7
6.5,8.382,7,8,9
6.8,38.12,4,5,6
7.6,105.249,5,6,7
6.5,10.0,4,5,6
6.1,208.0,4,5,6
6.3,10.0,3,4,5
7.9,43.0,8,9,10
7.8,8.0,6,7,8
8.3,3.0,7,8,9
6.7,57.0,5,6,7
6.6,9.45,3,4,5
7.1,10.0,4,5,6
6.9,10.0,2,3,4
6.3,135.0,5,6,7
6.2,35.0,7,8,9
8.3,100.0,7,8,9
5.8,10.0,6,7,8
4.2,20.0,5,6,7
6.8,33.0,7,8,9
6.7,23.0,3,4,5
6.6,12.0,6,7,8
6.6,15.0,6,7,8
7.7,16.0,9,10,11
7.0,115.0,5,6,7
6.7,553.81,1,2,3
5.8,10.0,5,6,7
9.1,29.0,6,7,8
7.0,115.0,5,6,7
7.9,33.0,6,7,8
7.0,23.0,5,6,7
6.3,12.0,7,8,9
6.7,27.4,4,5,6
7.0,13.0,5,6,7
9.3,10.0,7,8,9
7.5,90.0,3,4,5
6.9,535.0,1,2,3
6.5,595.98,1,2,3
7.8,20.0,8,9,10
6.6,22.0,5,6,7
6.7,25.0,6,7,8
7.0,130.0,5,6,7
6.9,145.0,3,4,5
7.3,30.0,8,9,10
7.2,18.0,8,9,10
6.8,10.0,3,4,5
7.7,14.86,4,5,6
5.7,15.0,5,6,7
7.5,33.0,5,6,7
6.8,16.441,3,4,5
6.9,9.0,4,5,6
5.0,24.0,6,7,8
6.5,20.0,4,5,6
6.1,15.0,5,6,7
7.7,33.0,5,6,7
6.7,33.0,2,3,4
6.9,174.8,3,4,5
6.6,21.0,5,6,7
7.1,39.0,5,6,7
8.3,33.0,7,8,9
5.6,11.0,6,7,8
7.8,20.1,5,6,7
5.8,22.0,5,6,7
6.0,70.0,6,7,8
7.1,35.0,5,6,7
6.6,33.0,5,6,7
6.6,9.0,5,6,7
4.8,10.0,5,6,7
7.6,606.21,3,4,5
5.8,10.0,4,5,6
7.9,10.0,7,8,9
5.1,33.0,4,5,6
5.4,10.0,5,6,7
7.3,16.0,3,4,5
6.7,27.59,3,4,5
6.7,624.0,1,2,3
6.9,15.0,3,4,5
7.8,33.0,5,6,7
6.7,11.0,4,5,6
9.1,29.0,7,8,9
6.1,33.0,6,7,8
6.9,25.5,3,4,5
6.6,30.0,4,5,6
7.9,24.0,6,7,8
6.7,24.0,2,3,4
6.7,66.0,4,5,6
8.6,20.0,5,6,7
6.6,10.0,2,3,4
7.3,33.0,4,5,6
5.8,10.0,7,8,9
6.7,3.0,6,7,8
7.3,150.0,8,9,10
6.5,8.0,2,3,4
6.7,12.0,6,7,8
6.7,55.0,5,6,7
7.6,15.0,8,9,10
6.5,301.0,2,3,4
6.9,28.0,5,6,7
7.5,24.0,6,7,8
5.0,10.0,2,3,4
6.8,16.441,3,4,5
6.9,13.0,6,7,8
6.6,33.0,4,5,6
6.5,122.0,3,4,5
6.5,10.0,4,5,6
6.5,59.0,5,6,7
6.7,11.0,4,5,6
6.0,22.0,4,5,6
7.5,47.0,6,7,8
6.3,18.0,6,7,8
6.8,5.0,8,9,10
5.9,9.0,6,7,8
7.7,17.0,6,7,8
7.1,11.0,7,8,9
6.9,10.0,7,8,9
6.9,13.0,5,6,7
7.9,94.54,5,6,7
6.7,164.4,3,4,5
7.2,179.3,4,5,6
6.5,15.0,6,7,8
6.5,59.0,5,6,7
6.9,10.0,7,8,9
7.2,10.0,5,6,7
6.6,11.0,6,7,8
6.7,65.8,3,4,5
6.5,246.0,2,3,4
7.3,40.0,8,9,10
6.2,10.0,4,5,6
6.6,614.0,1,2,3
4.7,5.0,3,4,5
7.2,33.0,4,5,6
7.8,34.0,6,7,8
7.6,10.0,5,6,7
7.5,280.0,3,4,5
7.2,78.0,4,5,6
6.6,10.0,4,5,6
7.2,68.0,5,6,7
6.9,145.0,3,4,5
7.9,14.06,2,3,4
7.2,33.0,5,6,7
6.9,20.0,5,6,7
9.0,22.0,5,6,7
4.7,16.0,4,5,6
5.8,17.0,5,6,7
6.5,20.0,5,6,7
6.1,10.0,4,5,6
7.1,18.0,8,9,10
6.6,23.0,3,4,5
6.5,8.0,7,8,9
7.0,185.1,3,4,5
7.0,24.0,5,6,7
6.7,63.0,6,7,8
6.8,14.0,5,6,7
6.2,4.0,7,8,9
7.2,10.0,2,3,4
7.1,43.0,4,5,6
7.4,33.0,8,9,10
7.4,13.0,7,8,9
6.9,33.3,2,3,4
7.8,40.5,6,7,8
7.1,35.0,5,6,7
5.7,12.0,4,5,6
6.2,13.0,8,9,10
7.3,170.0,4,5,6
7.0,12.0,6,7,8
6.4,33.0,8,9,10
7.6,15.0,9,10,11
8.6,20.0,5,6,7
7.4,35.0,7,8,9
7.0,24.4,5,6,7
6.8,46.0,5,6,7
6.8,25.0,4,5,6
6.5,20.0,7,8,9
4.7,7.0,5,6,7
6.5,150.0,6,7,8
6.5,20.0,5,6,7
4.0,3.0,5,6,7
6.7,17.0,4,5,6
7.5,50.0,7,8,9
6.6,20.0,4,5,6
6.7,26.0,7,8,9
7.0,43.0,5,6,7
5.7,17.0,6,7,8
7.7,30.1,4,5,6
7.1,46.7,6,7,8
7.1,146.0,4,5,6
4.8,10.0,5,6,7
6.2,33.0,7,8,9
7.5,8.7,4,5,6
7.5,23.0,9,10,11
4.4,16.0,5,6,7
7.6,96.0,6,7,8
7.1,40.0,6,7,8
8.4,33.0,6,7,8
6.5,8.0,2,3,4
6.7,12.0,5,6,7
6.8,161.0,6,7,8
6.4,10.0,6,7,8
6.5,10.0,6,7,8
7.1,15.0,9,10,11
6.6,15.0,5,6,7
6.9,13.0,2,3,4
7.6,15.0,8,9,10
7.1,10.0,4,5,6
5.8,15.0,6,7,8
6.1,113.0,5,6,7
6.7,12.0,5,6,7
5.0,10.0,5,6,7
7.0,30.0,8,9,10
7.6,26.0,5,6,7
7.9,340.0,4,5,6
6.4,13.0,7,8,9
6.5,29.0,3,4,5
6.7,100.0,6,7,8
4.9,8.0,5,6,7
6.8,5.0,2,3,4
6.1,37.0,4,5,6
7.2,44.0,4,5,6
6.0,38.0,6,7,8
7.9,4.2,7,8,9
6.7,152.0,3,4,5
6.6,27.8,2,3,4
6.5,16.0,2,3,4
6.7,223.0,4,5,6
6.7,22.0,2,3,4
7.2,33.0,5,6,7
7.2,19.0,2,3,4
6.5,9.0,6,7,8
7.6,55.0,5,6,7
8.3,598.1,4,5,6
6.5,110.0,4,5,6
6.5,192.955,2,3,4
7.1,43.063,5,6,7
5.5,39.0,2,3,4
6.6,54.0,5,6,7
7.1,292.0,2,3,4
7.0,12.0,7,8,9
6.9,15.0,8,9,10
6.8,11.0,3,4,5
6.9,10.0,4,5,6
8.6,15.0,4,5,6
6.4,10.0,6,7,8
7.7,22.4,7,8,9
7.0,18.0,5,6,7
6.8,38.0,3,4,5
7.2,68.0,5,6,7
6.6,25.0,6,7,8
6.0,10.0,6,7,8
7.1,141.9,4,5,6
7.6,31.0,4,5,6
7.2,10.0,8,9,10
7.0,28.41,5,6,7
6.6,113.7,3,4,5
7.8,28.0,5,6,7
7.3,70.0,9,10,11
7.3,41.0,6,7,8
6.5,34.0,4,5,6
6.4,15.0,8,9,10
5.5,21.0,6,7,8
7.0,18.0,5,6,7
6.2,19.0,5,6,7
6.8,50.0,3,4,5
7.0,10.0,3,4,5
7.2,68.0,5,6,7
6.6,10.0,5,6,7
7.1,55.14,5,6,7
7.3,22.0,7,8,9
6.9,21.0,3,4,5
5.8,10.0,7,8,9
7.0,22.0,5,6,7
6.3,33.0,5,6,7
7.1,630.0,1,2,3
6.6,12.2,3,4,5
7.3,20.0,5,6,7
6.8,13.7,4,5,6
5.6,32.0,4,5,6
6.7,94.0,4,5,6
6.7,11.0,4,5,6
6.5,14.83,2,3,4
6.1,33.0,6,7,8
7.6,20.0,7,8,9
4.6,6.0,4,5,6
7.5,20.0,6,7,8
6.5,10.0,2,3,4
7.3,212.0,4,5,6
7.2,32.0,4,5,6
7.8,69.0,6,7,8
8.0,10.0,8,9,10
7.2,33.0,5,6,7
5.1,21.0,4,5,6
6.8,61.1,4,5,6
4.8,9.0,4,5,6
8.3,33.0,7,8,9
7.0,10.0,7,8,9
7.0,137.0,3,4,5
7.0,10.0,2,3,4
7.2,159.3,4,5,6
6.6,33.0,5,6,7
6.9,8.0,7,8,9
7.5,10.0,8,9,10
6.2,17.0,5,6,7
7.4,156.0,5,6,7
6.8,58.0,3,4,5
7.1,103.0,5,6,7
7.3,10.0,4,5,6
6.4,5.0,6,7,8
6.5,27.0,5,6,7
7.4,35.0,7,8,9
6.6,38.0,6,7,8
5.7,18.0,6,7,8
6.8,50.0,3,4,5
7.9,35.0,5,6,7
7.8,15.0,6,7,8
6.6,35.0,2,3,4
7.3,40.0,4,5,6
6.7,20.49,5,6,7
7.6,26.0,7,8,9
5.4,35.0,7,8,9
6.9,35.0,4,5,6
6.6,624.464,0,1,2
6.6,19.0,8,9,10
6.0,15.0,8,9,10
6.6,53.19,4,5,6
6.9,93.0,5,6,7
7.8,8.0,6,7,8
6.0,6.0,5,6,7
6.8,535.0,1,2,3
6.6,37.0,6,7,8
6.5,10.0,5,6,7
5.7,8.0,8,9,10
6.9,35.0,3,4,5
6.8,25.0,7,8,9
6.9,145.0,3,4,5
6.5,24.0,4,5,6
7.3,15.0,6,7,8
6.7,20.49,5,6,7
8.0,122.57,6,7,8
6.5,15.0,5,6,7
6.5,21.0,4,5,6
5.3,18.0,6,7,8
7.5,20.0,6,7,8
7.8,10.0,7,8,9
6.9,28.42,3,4,5
8.1,30.0,5,6,7
7.2,10.0,7,8,9
4.8,12.0,1,2,3
6.6,50.0,3,4,5
6.6,591.0,1,2,3
6.8,11.6,7,8,9
7.8,17.9,10,11,12
6.6,33.0,4,5,6
8.3,100.0,7,8,9
6.7,24.0,3,4,5
7.1,10.0,3,4,5
5.5,17.0,6,7,8
6.3,33.0,8,9,10
6.7,461.0,1,2,3
6.6,25.0,4,5,6
4.6,33.0,3,4,5
6.1,95.0,4,5,6
7.7,33.0,6,7,8
6.5,371.0,2,3,4
8.6,15.0,9,10,11
7.6,18.1,5,6,7
6.6,18.0,4,5,6
5.5,10.0,5,6,7
7.6,30.0,7,8,9
6.0,33.0,6,7,8
6.6,43.21,2,3,4
7.8,17.925,7,8,9
7.2,14.0,3,4,5
5.9,17.0,7,8,9
7.1,35.0,4,5,6
5.1,5.0,6,7,8
6.7,12.0,3,4,5
6.6,22.0,1,2,3
7.7,20.0,3,4,5
6.5,33.0,4,5,6
7.7,20.0,8,9,10
6.5,41.54,2,3,4
5.4,55.0,5,6,7
6.9,21.0,5,6,7
6.5,33.0,4,5,6
6.9,20.0,5,6,7
6.5,69.1,4,5,6
6.7,10.0,6,7,8
7.8,15.0,7,8,9
7.5,30.0,6,7,8
5.4,10.0,3,4,5
6.6,7.0,5,6,7
7.3,212.0,4,5,6
7.0,15.0,8,9,10
4.6,51.0,4,5,6
7.6,18.1,5,6,7
7.5,15.0,8,9,10
6.3,12.0,7,8,9
6.7,43.0,2,3,4
7.0,15.0,8,9,10
6.0,27.0,5,6,7
4.9,10.0,5,6,7
6.5,2.7,6,7,8
6.4,15.0,6,7,8
5.8,11.0,3,4,5
6.8,65.842,5,6,7
6.8,60.0,9,10,11
5.7,54.0,7,8,9
6.5,15.0,6,7,8
6.5,30.0,4,5,6
6.5,10.0,4,5,6
6.1,44.0,5,6,7
7.6,89.0,5,6,7
6.5,6.43,3,4,5
7.6,33.0,5,6,7
6.6,22.0,5,6,7
5.7,13.0,3,4,5
8.6,33.0,9,10,11
7.8,24.0,1,2,3
6.5,38.0,3,4,5
7.8,28.0,5,6,7
6.2,10.0,4,5,6
6.7,23.0,2,3,4
9.1,29.0,6,7,8
8.2,60.0,9,10,11
6.7,17.4,4,5,6
6.9,10.0,3,4,5
6.6,15.0,7,8,9
7.0,21.0,6,7,8
4.9,13.0,5,6,7
7.2,179.3,4,5,6
6.6,15.0,6,7,8
7.5,160.0,4,5,6
6.5,10.0,3,4,5
7.1,27.0,6,7,8
7.7,48.0,6,7,8
7.9,20.0,9,10,11
8.0,45.6,6,7,8
6.8,22.0,2,3,4
6.5,196.0,2,3,4
5.8,10.0,5,6,7
6.6,18.0,4,5,6
5.6,12.0,6,7,8
5.2,27.0,4,5,6
6.7,46.0,4,5,6
6.9,9.0,4,5,6
6.6,25.0,6,7,8
6.1,37.0,4,5,6
7.2,28.0,5,6,7
7.0,39.0,5,6,7
6.8,540.0,1,2,3
6.7,11.0,4,5,6
7.4,8.0,7,8,9
5.8,10.0,8,9,10
5.6,11.0,6,7,8
6.6,38.0,6,7,8
7.4,26.0,7,8,9
7.0,25.0,4,5,6
7.0,26.0,3,4,5
7.4,33.0,8,9,10
5.5,33.0,8,9,10
6.6,24.0,6,7,8
6.9,624.0,1,2,3
7.6,606.21,3,4,5
5.6,33.0,8,9,10
6.8,46.0,5,6,7
7.0,15.0,6,7,8
6.4,72.0,7,8,9
6.1,19.0,4,5,6
5.2,26.0,3,4,5
6.6,40.0,4,5,6
7.3,40.0,4,5,6
6.6,591.0,1,2,3
5.6,24.0,6,7,8
6.7,206.3,2,3,4
7.6,15.0,6,7,8
6.9,5.81,6,7,8
7.2,9.987,7,8,9
6.7,10.0,2,3,4
8.0,60.5,7,8,9
7.3,16.0,3,4,5
6.8,164.2,3,4,5
5.4,11.0,3,4,5
6.7,25.0,4,5,6
5.4,6.0,4,5,6
7.0,20.0,6,7,8
6.5,32.0,3,4,5
5.6,27.0,6,7,8
7.3,10.0,8,9,10
6.8,11.0,2,3,4
7.4,20.0,5,6,7
6.6,131.8,4,5,6
6.5,10.0,5,6,7
6.0,25.0,6,7,8
6.6,624.464,0,1,2
6.1,15.0,7,8,9
6.8,22.0,2,3,4
8.1,13.0,7,8,9
6.8,42.0,4,5,6
5.0,10.0,2,3,4
6.2,12.0,5,6,7
7.1,201.7,3,4,5
7.9,19.0,9,10,11
6.7,26.59,3,4,5
6.5,122.0,3,4,5
5.0,8.0,6,7,8
7.6,30.0,7,8,9
5.8,15.0,8,9,10
7.5,90.0,3,4,5
7.0,22.0,3,4,5
6.5,14.0,7,8,9
6.5,19.2,4,5,6
7.1,10.0,8,9,10
6.6,53.0,3,4,5
7.8,12.0,6,7,8
8.2,25.0,6,7,8
6.6,134.7,3,4,5
7.7,5.0,8,9,10
7.0,10.0,7,8,9
7.0,37.0,4,5,6
5.5,10.0,5,6,7
7.1,12.0,2,3,4
4.5,7.0,5,6,7
6.9,28.42,3,4,5
7.6,102.0,4,5,6
6.8,21.0,3,4,5
6.6,10.0,5,6,7
7.0,29.0,4,5,6
7.8,115.6,5,6,7
6.7,25.7,5,6,7
6.9,17.0,9,10,11
8.7,30.0,6,7,8
5.9,9.0,1,2,3
5.2,10.0,5,6,7
6.1,10.0,4,5,6
5.8,10.0,8,9,10
6.2,10.0,4,5,6
6.9,20.0,3,4,5
6.9,10.0,1,2,3
6.8,5.0,2,3,4
5.3,33.0,5,6,7
6.6,33.0,6,7,8
7.3,10.0,5,6,7
6.8,164.2,3,4,5
7.5,38.0,4,5,6
6.5,33.0,4,5,6
6.5,20.0,4,5,6
7.2,16.0,3,4,5
6.6,35.0,7,8,9
6.7,24.0,5,6,7
7.8,25.0,7,8,9
4.7,10.0,4,5,6
7.5,19.0,3,4,5
6.8,14.0,5,6,7
6.6,9.45,3,4,5
6.7,21.0,4,5,6
7.2,236.0,3,4,5
6.7,23.0,5,6,7
7.5,160.0,4,5,6
5.7,5.0,7,8,9
6.5,13.0,6,7,8
7.6,61.4,6,7,8
7.1,15.0,6,7,8
6.7,25.7,5,6,7
7.9,55.0,6,7,8
6.5,13.4,5,6,7
7.7,16.0,7,8,9
7.5,19.0,3,4,5
7.7,18.6,2,3,4
6.1,9.0,2,3,4
7.7,10.0,5,6,7
7.1,292.0,2,3,4
4.9,33.0,4,5,6
7.4,19.0,5,6,7
6.6,11.0,4,5,6
7.0,150.0,7,8,9
7.0,25.0,7,8,9
6.6,21.0,4,5,6
7.1,10.0,3,4,5
7.0,18.0,5,6,7
7.2,27.0,6,7,8
5.8,6.0,5,6,7
6.8,52.0,6,7,8
6.8,33.0,4,5,6
8.16,27.0,7,8,9
7.0,2.0,4,5,6
6.9,30.0,7,8,9
6.9,70.0,5,6,7
7.1,73.7,5,6,7
6.9,28.0,5,6,7
7.8,28.0,6,7,8
5.6,21.0,5,6,7
5.7,15.0,5,6,7
